id,salary_in_usd
0,113212.6275
1,229671.5
2,118663.0
3,92351.71
4,37112.122
5,104719.83666666666
6,58679.36666666667
7,56959.61666666667
8,41962.93
9,148280.6673881674
10,58739.01
11,150869.1738095238
12,75305.4495952381
13,28093.225
14,78599.36
15,56360.49933333333
16,74800.29
17,179087.0
18,61387.74
19,69013.86
20,106775.715
21,63477.73066666667
22,79650.56
23,206244.09999999998
24,32332.705
25,37883.458
26,76664.99999999999
27,236073.695
28,31273.67
29,49907.5325
30,33886.965
31,120680.27417027416
32,63365.35499999999
33,60416.155
34,73009.92
35,83121.33
36,179462.1666666667
37,84525.53333333333
38,78463.49
39,210771.5
40,47557.18
41,27968.71
42,115253.0
43,161972.34393939393
44,87685.0
45,218638.0
46,124613.81811075033
47,71707.85333333333
48,120680.27417027416
49,50285.2825
50,109880.1666666667
51,54291.35
52,120154.91404761907
53,160562.30700139236
54,108561.94220268622
55,87594.01564285714
56,160482.73429876982
57,139853.61057837773
58,109090.71041381985
59,141420.52586097727
60,109090.71041381985
61,245240.10285714292
62,141420.52586097727
63,145251.55664862914
64,181878.6
65,221498.09486249663
66,221498.09486249663
67,141420.52586097727
68,102218.04054323457
69,81621.73599999999
70,205229.14800000002
71,174424.96681096684
72,107859.44220268622
73,74815.62516666665
74,104381.71
75,127302.05480555557
76,69136.36533333334
77,78445.91854761902
78,75991.288
79,154103.6666666667
80,37152.19
81,51696.58
82,277968.0633333333
83,284805.18333333335
84,123866.67666964758
85,58466.139460317456
86,58466.139460317456
87,160482.73429876982
88,141420.52586097727
89,47473.81
90,91553.04
91,44204.635
92,76901.0075
93,42699.195
94,141420.52586097727
95,281129.1333333333
96,59610.03
97,86891.45
98,80281.88
99,252185.79740259738
100,141420.52586097727
101,109090.71041381985
102,109090.71041381985
103,221498.09486249663
104,160482.73429876982
105,71089.39
106,102218.04054323457
