id,salary_in_usd
0,62753.03266279052
1,107394.5003126312
2,99639.26054743808
3,58869.69576777194
4,30516.30447388934
5,56876.4336017053
6,97816.21969446313
7,52437.03877838339
8,69661.02719674661
9,136203.34652921907
10,45843.28192133225
11,131826.11980721276
12,80880.289993857
13,35760.35173563961
14,61144.39720973557
15,53648.640527959324
16,68705.05916560783
17,93194.61351420649
18,59170.594882542704
19,73227.75947679789
20,71606.43432376465
21,65731.28432576735
22,95447.12506164586
23,137740.99069145197
24,41649.38254198989
25,48319.9087339817
26,106290.64270346223
27,203655.4623751381
28,57936.900587211574
29,79406.95312424462
30,78486.46759920173
31,125519.97085185006
32,60995.935917022594
33,54267.489491864006
34,61988.84754250484
35,67129.6552431621
36,132961.94852445228
37,50854.82916682352
38,81719.41796513484
39,140985.08677001775
40,32716.266987951818
41,39647.517211420796
42,103615.25428534191
43,139860.8667227521
44,107890.8721563894
45,165398.35841701872
46,118706.01934646025
47,77159.71663506489
48,125519.97085185006
49,62839.49966144826
50,121486.08046252467
51,62342.33899151383
52,121893.67716777863
53,125301.31065401416
54,103709.19281032251
55,79894.32073566824
56,142095.2115373673
57,141831.77474482908
58,120896.99837726963
59,143901.13099883194
60,120896.99837726963
61,170137.49929114882
62,143901.13099883194
63,141766.80004449433
64,150144.41332397185
65,178113.81344444375
66,178113.81344444375
67,143901.13099883194
68,119103.86302015277
69,84615.62164772875
70,112846.81650628742
71,147290.31160825718
72,92402.53080352099
73,66480.82072496212
74,71027.91845125385
75,123442.85086226933
76,60719.170606287575
77,81097.14764414325
78,109141.61673830764
79,125128.61030392081
80,43671.083460195776
81,45581.15033981755
82,248565.88632312545
83,163550.04130426203
84,105270.55795642822
85,78891.66907007284
86,78891.66907007284
87,142095.2115373673
88,143901.13099883194
89,78401.46358106015
90,83410.41784927371
91,61667.79688146488
92,87813.21248944584
93,62762.30382276634
94,143901.13099883194
95,147871.3551672225
96,46718.34861944685
97,84524.63283693268
98,70848.34303928212
99,142744.40090901707
100,143901.13099883194
101,120896.99837726963
102,120896.99837726963
103,178113.81344444375
104,142095.2115373673
105,72105.79031577952
106,119103.86302015277
