id,salary_in_usd
0,62189.93156915553
1,107506.03486397595
2,99546.11448327647
3,58548.168899042095
4,30593.93954085379
5,56306.346381373296
6,97774.0577467101
7,52359.40492871743
8,83378.26870433499
9,135951.86862705802
10,45391.009443993724
11,131628.78717030358
12,80906.83278131913
13,35547.006383593645
14,60747.09679455858
15,53751.51383358724
16,69057.07941989036
17,93527.4954016453
18,59304.33104827447
19,73052.6034585865
20,71274.63529280754
21,65437.802403389105
22,94559.94606868085
23,137685.80313970763
24,41627.00126740135
25,47650.615210677635
26,106107.64437533464
27,202882.4237862544
28,57738.89972119438
29,78699.07460543464
30,77782.21251628191
31,125243.4792017863
32,60903.19213755897
33,53946.50673410371
34,61504.36388278669
35,66864.54385654005
36,133378.01727486443
37,50558.88150587357
38,81924.06895055033
39,140802.56638237237
40,32537.85503007964
41,39672.887624663425
42,103533.07609597399
43,139902.02146937101
44,107891.92752041815
45,165124.10318794934
46,118652.69308502837
47,77212.14432247802
48,125243.4792017863
49,62987.64405893231
50,121260.90972345209
51,61960.29876132159
52,122100.20930949191
53,125480.05003530219
54,103554.80014130344
55,79707.70381248635
56,142284.4324005182
57,141517.81460905922
58,120673.30632584813
59,143804.79976049927
60,120673.30632584813
61,170064.1429949446
62,143804.79976049927
63,141426.6007025004
64,150057.25704240805
65,177904.7346155347
66,177904.7346155347
67,143804.79976049927
68,118677.64871283568
69,84571.92168827224
70,112877.08531950755
71,147060.07738383958
72,92202.23904598344
73,66523.49360554767
74,84417.92406966395
75,123404.89998962496
76,60728.35651089338
77,81048.05128022235
78,109084.06865437151
79,125039.92452816431
80,43754.81945106242
81,45679.81888994459
82,247625.23799045806
83,160260.9496782754
84,105296.15521117012
85,78864.99903895061
86,78864.99903895061
87,142284.4324005182
88,143804.79976049927
89,95299.34527673955
90,84138.95815775651
91,61410.7945705005
92,86142.28873383572
93,62338.81650341928
94,143804.79976049927
95,145064.5033302745
96,46348.909503909
97,85442.39010723797
98,71266.41887137966
99,142483.13885526714
100,143804.79976049927
101,120673.30632584813
102,120673.30632584813
103,177904.7346155347
104,142284.43240051848
105,72343.37611083208
106,118677.64871283568
